method,group_kind,group,dist_from_train,n,known_true_slope,derived_prediction_slope,abs_slope_error,known_true_prevalence,derived_prediction_prevalence,prevalence_error,abs_prevalence_error,auc,liability_pseudo_r2,mae_true_risk,rmse_true_risk,brier,dem,pheno,seed,pgs_mode,centers
znorm,deme,9.0,9.0,250,0.7173571185062856,0.5637130879455714,0.1536440305607141,0.1245240791465521,0.1127176691095052,-0.0118064100370469,0.0118064100370469,0.6771235521235521,0.257707445036884,0.0792043615120748,0.1114191660298169,0.092902248362662,serial1d,phenoB,3,realpt,20
gamfit,distance,0.0,0.0,250,0.4851904074302909,0.2946637391057017,0.1905266683245892,0.0931615571897605,0.1221977071317049,0.0290361499419443,0.0290361499419443,0.7069565217391305,0.2937118639148606,0.0931181405918459,0.1270833214985999,0.0737655452024457,serial1d,phenoB,2,realpt,20
gamfit,distance,1.0,1.0,250,0.5165923725573442,0.2996293069791019,0.2169630655782423,0.0591458711702142,0.0765392869209298,0.0173934157507155,0.0173934157507155,0.8920765027322404,0.2401871759148585,0.0602312844236578,0.0853887882330187,0.0235208591791382,serial1d,phenoB,2,realpt,20
gamfit,distance,2.0,2.0,250,0.5010948071065815,0.3457367454472054,0.155358061659376,0.2391960772868814,0.2208346633412848,-0.0183614139455965,0.0183614139455965,0.6228438228438228,0.1637565705290374,0.162231948029071,0.2048500160331673,0.1666152005820197,serial1d,phenoB,2,realpt,20
gamfit,distance,3.0,3.0,250,0.6243802565817289,0.3390249529494237,0.2853553036323052,0.2479204590673838,0.202814371672648,-0.0451060873947357,0.0451060873947357,0.6314356633837777,0.1840885883018703,0.1563471703177789,0.208576283937443,0.1985424516786204,serial1d,phenoB,2,realpt,20
gamfit,distance,4.0,4.0,250,0.9855986781890156,0.5023925006096855,0.4832061775793299,0.3068234039647721,0.2957436774688542,-0.0110797264959178,0.0110797264959178,0.6412148249828414,0.1832917228292203,0.1866311046387573,0.2242623803056432,0.1817288610885468,serial1d,phenoB,2,realpt,20
gamfit,distance,5.0,5.0,250,0.7406086695465265,0.5730801211981306,0.1675285483483959,0.1306541798849093,0.1875905273334574,0.056936347448548,0.056936347448548,0.5829209491181323,0.109636612924576,0.1197704445383669,0.1421431555917656,0.1262993678672005,serial1d,phenoB,2,realpt,20
gamfit,distance,6.0,6.0,250,0.5710275534808914,0.659226180495793,0.0881986270149015,0.1511749542184205,0.2108714957099139,0.0596965414914933,0.0596965414914933,0.5204763640782598,0.0464472718675347,0.1362170579922256,0.1586260514162663,0.1352147673203121,serial1d,phenoB,2,realpt,20
gamfit,distance,7.0,7.0,250,0.7068218439012315,0.6338813001743149,0.0729405437269166,0.2842836261341608,0.2459559733758186,-0.0383276527583421,0.0383276527583421,0.5929656149185617,0.085600849330506,0.1524781171702851,0.1950398914736531,0.2003593688610519,serial1d,phenoB,2,realpt,20
gamfit,distance,8.0,8.0,250,0.852769198306712,0.7541494671611022,0.0986197311456098,0.3446616386464976,0.287293141319112,-0.0573684973273856,0.0573684973273856,0.5527509926262053,0.0704936635868341,0.1732459913533403,0.2133071865216619,0.2255044117984125,serial1d,phenoB,2,realpt,20
gamfit,distance,9.0,9.0,250,0.2531885838163459,0.6795204947669079,0.4263319109505619,0.2549634552085285,0.2885837862233956,0.033620331014867,0.033620331014867,0.5795804195804195,0.0148148285774054,0.1580574282382211,0.193872592127361,0.1741957458580837,serial1d,phenoB,2,realpt,20
gamfit,deme,0.0,0.0,250,0.4851904074302909,0.2946637391057017,0.1905266683245892,0.0931615571897605,0.1221977071317049,0.0290361499419443,0.0290361499419443,0.7069565217391305,0.2937118639148606,0.0931181405918459,0.1270833214985999,0.0737655452024457,serial1d,phenoB,2,realpt,20
gamfit,deme,1.0,1.0,250,0.5165923725573442,0.2996293069791019,0.2169630655782423,0.0591458711702142,0.0765392869209298,0.0173934157507155,0.0173934157507155,0.8920765027322404,0.2401871759148585,0.0602312844236578,0.0853887882330187,0.0235208591791382,serial1d,phenoB,2,realpt,20
gamfit,deme,2.0,2.0,250,0.5010948071065815,0.3457367454472054,0.155358061659376,0.2391960772868814,0.2208346633412848,-0.0183614139455965,0.0183614139455965,0.6228438228438228,0.1637565705290374,0.162231948029071,0.2048500160331673,0.1666152005820197,serial1d,phenoB,2,realpt,20
gamfit,deme,3.0,3.0,250,0.6243802565817289,0.3390249529494237,0.2853553036323052,0.2479204590673838,0.202814371672648,-0.0451060873947357,0.0451060873947357,0.6314356633837777,0.1840885883018703,0.1563471703177789,0.208576283937443,0.1985424516786204,serial1d,phenoB,2,realpt,20
gamfit,deme,4.0,4.0,250,0.9855986781890156,0.5023925006096855,0.4832061775793299,0.3068234039647721,0.2957436774688542,-0.0110797264959178,0.0110797264959178,0.6412148249828414,0.1832917228292203,0.1866311046387573,0.2242623803056432,0.1817288610885468,serial1d,phenoB,2,realpt,20
gamfit,deme,5.0,5.0,250,0.7406086695465265,0.5730801211981306,0.1675285483483959,0.1306541798849093,0.1875905273334574,0.056936347448548,0.056936347448548,0.5829209491181323,0.109636612924576,0.1197704445383669,0.1421431555917656,0.1262993678672005,serial1d,phenoB,2,realpt,20
gamfit,deme,6.0,6.0,250,0.5710275534808914,0.659226180495793,0.0881986270149015,0.1511749542184205,0.2108714957099139,0.0596965414914933,0.0596965414914933,0.5204763640782598,0.0464472718675347,0.1362170579922256,0.1586260514162663,0.1352147673203121,serial1d,phenoB,2,realpt,20
gamfit,deme,7.0,7.0,250,0.7068218439012315,0.6338813001743149,0.0729405437269166,0.2842836261341608,0.2459559733758186,-0.0383276527583421,0.0383276527583421,0.5929656149185617,0.085600849330506,0.1524781171702851,0.1950398914736531,0.2003593688610519,serial1d,phenoB,2,realpt,20
gamfit,deme,8.0,8.0,250,0.852769198306712,0.7541494671611022,0.0986197311456098,0.3446616386464976,0.287293141319112,-0.0573684973273856,0.0573684973273856,0.5527509926262053,0.0704936635868341,0.1732459913533403,0.2133071865216619,0.2255044117984125,serial1d,phenoB,2,realpt,20
gamfit,deme,9.0,9.0,250,0.2531885838163459,0.6795204947669079,0.4263319109505619,0.2549634552085285,0.2885837862233956,0.033620331014867,0.033620331014867,0.5795804195804195,0.0148148285774054,0.1580574282382211,0.193872592127361,0.1741957458580837,serial1d,phenoB,2,realpt,20
linpc,distance,0.0,0.0,250,0.4851904074302909,0.4226632097725428,0.0625271976577481,0.0931615571897605,0.1013993977756606,0.0082378405859,0.0082378405859,0.6956521739130435,0.2987437532459802,0.0829454941802947,0.12831452776985,0.0776937465710221,serial1d,phenoB,2,realpt,20
linpc,distance,1.0,1.0,250,0.5165923725573442,0.4186152059281244,0.0979771666292197,0.0591458711702142,0.1091069161443757,0.0499610449741614,0.0499610449741614,0.8456284153005464,0.2834452183857046,0.0779102969856355,0.0996419569464208,0.0277006572257533,serial1d,phenoB,2,realpt,20
linpc,distance,2.0,2.0,250,0.5010948071065815,0.4577447264521191,0.0433500806544623,0.2391960772868814,0.1836095826425096,-0.0555864946443717,0.0555864946443717,0.6152913752913753,0.1542183363167046,0.1600205318285537,0.216014889764182,0.1677780958645151,serial1d,phenoB,2,realpt,20
linpc,distance,3.0,3.0,250,0.6243802565817289,0.4563472075418007,0.1680330490399282,0.2479204590673838,0.1879729863969018,-0.0599474726704819,0.0599474726704819,0.6263912242773642,0.2112463648677207,0.1531384003227314,0.2099229454202509,0.1984836296175396,serial1d,phenoB,2,realpt,20
linpc,distance,4.0,4.0,250,0.9855986781890156,0.4796737937656861,0.5059248844233293,0.3068234039647721,0.2562572938474007,-0.0505661101173713,0.0505661101173713,0.6274879890185312,0.1902958477615829,0.1871478492382969,0.2312870986462954,0.1805326891523739,serial1d,phenoB,2,realpt,20
linpc,distance,5.0,5.0,250,0.7406086695465265,0.4857811930354062,0.2548274765111203,0.1306541798849093,0.2588333747726253,0.1281791948877159,0.1281791948877159,0.5783530008882121,0.1145870396827799,0.1650356053707538,0.1823757718415322,0.1364357895812143,serial1d,phenoB,2,realpt,20
linpc,distance,6.0,6.0,250,0.5710275534808914,0.4871191081346807,0.0839084453462107,0.1511749542184205,0.2656612416111606,0.1144862873927401,0.1144862873927401,0.5808725240004862,0.048777863582513,0.166490983198198,0.1853408203629962,0.1430046281458209,serial1d,phenoB,2,realpt,20
linpc,distance,7.0,7.0,250,0.7068218439012315,0.4872212167652119,0.2196006271360195,0.2842836261341608,0.248863843644275,-0.0354197824898858,0.0354197824898858,0.5815563773703675,0.1006657100664686,0.1539723947570704,0.1939588200922855,0.2007010767408609,serial1d,phenoB,2,realpt,20
linpc,distance,8.0,8.0,250,0.852769198306712,0.4839695111006762,0.3687996872060358,0.3446616386464976,0.2636863887523996,-0.080975249894098,0.080975249894098,0.5779920589903573,0.0930727532302999,0.1755580851475983,0.221153034943558,0.2292341963519921,serial1d,phenoB,2,realpt,20
linpc,distance,9.0,9.0,250,0.2531885838163459,0.4765034284227926,0.2233148446064466,0.2549634552085285,0.2605934918265691,0.0056300366180406,0.0056300366180406,0.5406993006993006,0.0197483159257984,0.1506642925070696,0.1888354478067713,0.1715083844298326,serial1d,phenoB,2,realpt,20
linpc,deme,0.0,0.0,250,0.4851904074302909,0.4226632097725428,0.0625271976577481,0.0931615571897605,0.1013993977756606,0.0082378405859,0.0082378405859,0.6956521739130435,0.2987437532459802,0.0829454941802947,0.12831452776985,0.0776937465710221,serial1d,phenoB,2,realpt,20
linpc,deme,1.0,1.0,250,0.5165923725573442,0.4186152059281244,0.0979771666292197,0.0591458711702142,0.1091069161443757,0.0499610449741614,0.0499610449741614,0.8456284153005464,0.2834452183857046,0.0779102969856355,0.0996419569464208,0.0277006572257533,serial1d,phenoB,2,realpt,20
linpc,deme,2.0,2.0,250,0.5010948071065815,0.4577447264521191,0.0433500806544623,0.2391960772868814,0.1836095826425096,-0.0555864946443717,0.0555864946443717,0.6152913752913753,0.1542183363167046,0.1600205318285537,0.216014889764182,0.1677780958645151,serial1d,phenoB,2,realpt,20
