seed,scenario,divergence_gens,n_near_tags,n_far_tags,r2_near_pop0,r2_near_pop1,ratio_near,r2_far_pop0,r2_far_pop1,ratio_far,r2_far_pop1_het_neutral,ratio_far_het_neutral,r2_far_pop1_ld_destroy,ratio_far_ld_destroy,delta_ratio_near_minus_far,delta_ratio_het_intervention,delta_ratio_ld_destroy,r2_null_pop0,r2_null_pop1,mean_abs_maf_diff_near,mean_abs_maf_diff_far,delta_hetero_far_pop1_minus_pop0,beta_corr_far_pop0_vs_pop1
4,divergence,500,384,384,0.5711464733640224,0.4394044413624207,0.7693375725045659,0.44984974733321603,0.18892659235243847,0.4199771000704717,0.18252007724614142,0.40573564468614404,0.00021357614250045153,0.0004747721739682335,0.34936047243409424,-0.01424145538432764,-0.41950232789650344,0.028142119117311494,0.02710819156486467,0.05434760199652777,0.055723198784722226,-0.0032676042344834955,0.34076081429767763
3,divergence,500,379,379,0.5662919253467554,0.42504291209367046,0.7505720867084684,0.4015550900376369,0.11570579029087792,0.2881442500953806,0.10321043324330925,0.25702683343806093,0.0009599435479397753,0.0023905650102699527,0.46242783661308784,-0.031117416657319652,-0.2857536850851106,0.013194899771710823,0.02091307501076921,0.05434119393139841,0.052689918645558484,0.002262374429694347,0.2871875232965263
5,divergence,500,388,388,0.5382608166923165,0.3457141917028109,0.6422800638308954,0.4264606832865634,0.057331384903423044,0.1344353351910258,0.08383596360099708,0.19658544594288635,0.0016882707453506048,0.003958795761287469,0.5078447286398696,0.062150110751860554,-0.13047653942973833,0.025558084106400404,0.004640889611810581,0.06331883591065293,0.05883242053264605,0.0018658355817762207,0.28512397099904097
6,divergence,500,381,381,0.5300226835150225,0.35692650125430714,0.6734174071328982,0.3961828492285706,0.14459063582525322,0.36495935174072675,0.1546165309853644,0.3902655839000268,0.000884733102141285,0.002233143367674793,0.30845805539217147,0.025306232159300057,-0.362726208373052,0.022365511152092836,0.00025336900199907526,0.05417787620297462,0.053840223097112866,-0.0018976559082458377,0.32268029044637486
7,divergence,500,383,383,0.5182918630458234,0.14663621356012838,0.28292208312590067,0.3993470211637419,0.018870827581311533,0.0472542089491987,0.02881273972656444,0.07214962976961965,2.1898622342171662e-05,5.483607284300413e-05,0.23566787417670199,0.024895420820420955,-0.04719937287635569,0.0039582428945928744,0.0019390683661000664,0.05247280243690165,0.05254813968668407,-0.001948517222856827,0.1666981669282314
1,divergence,1000,390,390,0.5294339984622304,0.1856366291115953,0.3506322405640494,0.3594518913345059,0.03138433851418486,0.08731165218707557,0.018310164077360334,0.050939122922352066,0.0017036603178000962,0.004739605935790362,0.2633205883769738,-0.0363725292647235,-0.08257204625128521,0.005100985783571812,0.0006300191226159756,0.0735758547008547,0.0770841346153846,0.008030214064725816,0.09270703257936251
8,divergence,500,382,382,0.6237679538574803,0.20392055012317914,0.32691732376134747,0.4392548390207827,0.09021900011614307,0.2053910215702245,0.12165535766239577,0.27695849164370806,0.0008273439206475631,0.0018835169180877675,0.12152630219112295,0.07156747007348355,-0.20350750465213674,0.008439448524056137,0.004112722789189605,0.055643815445026175,0.05497000436300174,0.00234830217877402,0.3232499494046243
3,divergence,1000,385,385,0.47451250289631874,0.18982168406487657,0.4000351579910903,0.33798295535782485,0.05789670942446233,0.17130067805687624,0.05625780415864742,0.16645160138056933,0.00039442917022435746,0.0011670090576217744,0.22873447993421406,-0.004849076676306907,-0.17013366899925447,0.02756286926970555,0.037952182525927934,0.0748452380952381,0.07767018398268398,-0.011558875304383154,0.19120501828773828
2,divergence,1000,381,381,0.6319125417189768,0.3297897491082593,0.5218914443621264,0.45586926299932723,0.12931358575419438,0.283663752417511,0.14300055973357884,0.31368765420315226,0.0004888759815521928,0.001072403913209025,0.2382276919446154,0.030023901785641238,-0.282591348504302,6.313705626213584e-05,0.010097167050002158,0.0730530949256343,0.07326142825896763,-0.004156706640511043,0.2844398579456971
4,divergence,1000,384,384,0.604160942622203,0.23246239573804953,0.38476899007921156,0.44928819973877854,0.03295443693085786,0.0733481025097431,0.035282043456398134,0.07852875610112069,0.0006872399169051323,0.001529619334103815,0.31142088756946845,0.005180653591377593,-0.07181848317563928,0.014067129629332376,9.035878772791747e-06,0.06720106336805555,0.06825466579861111,-0.00280300078215423,0.15964930697553656
5,divergence,1000,382,382,0.5906876206897301,0.30373210732184575,0.514200901937281,0.4741816903630342,0.08398487923982643,0.17711539890021372,0.08702427871845804,0.18352517713586142,2.080227894057505e-06,4.386984854824064e-06,0.33708550303706725,0.006409778235647701,-0.17711101191535888,0.0306565753405723,0.0173909785687041,0.07363683464223386,0.07227421465968586,0.006497530927319667,0.280979123199469
